"week","team","team_points","opponent","opponent_points","result"
1,5,174.56,7,187.32,0
1,3,99.76,9,146.96,0
1,2,163.2,6,113.94,1
1,1,123.96,8,135.2,0
1,4,127.62,10,113.46,1
1,11,106.34,12,104.8,1
2,2,102.26,5,170.72,0
2,7,141.46,9,204.74,0
2,3,100.18,6,131.28,0
2,4,155.92,8,92.6,1
2,1,109.5,12,77.26,1
2,10,109.18,11,121.68,0
